Content,Area,MajorPollutant,AQI,ForecastDate,MinorPollutant,MinorPollutantAQI,PublishTime
"1.22日中南部地區AQI為對敏感族群不健康，局部地區達到對所有族群不健康，其他地區為良好至普通等級，指標污染物為細懸浮微粒。\r2.23日西半部地區AQI為對普通至敏感族群不健康，局部地區達到對所有族群不健康，東半部地區為普通等級，指標污染物為細懸浮微粒；24日中南部地區AQI為對敏感族群不健康，局部地區將達到對所有族群不健康，其他地區為良好至普通等級，指標污染物為細懸浮微粒。",雲嘉南,細懸浮微粒,155,2016-12-23,,,2016-12-22 10:30
"1.22日中南部地區AQI為對敏感族群不健康，局部地區達到對所有族群不健康，其他地區為良好至普通等級，指標污染物為細懸浮微粒。\r2.23日西半部地區AQI為對普通至敏感族群不健康，局部地區達到對所有族群不健康，東半部地區為普通等級，指標污染物為細懸浮微粒；24日中南部地區AQI為對敏感族群不健康，局部地區將達到對所有族群不健康，其他地區為良好至普通等級，指標污染物為細懸浮微粒。",雲嘉南,細懸浮微粒,155,2016-12-22,,,2016-12-22 10:30
"1.22日中南部地區AQI為對敏感族群不健康，局部地區達到對所有族群不健康，其他地區為良好至普通等級，指標污染物為細懸浮微粒。\r2.23日西半部地區AQI為對普通至敏感族群不健康，局部地區達到對所有族群不健康，東半部地區為普通等級，指標污染物為細懸浮微粒；24日中南部地區AQI為對敏感族群不健康，局部地區將達到對所有族群不健康，其他地區為良好至普通等級，指標污染物為細懸浮微粒。",中部,細懸浮微粒,150,2016-12-24,,,2016-12-22 10:30
"1.22日中南部地區AQI為對敏感族群不健康，局部地區達到對所有族群不健康，其他地區為良好至普通等級，指標污染物為細懸浮微粒。\r2.23日西半部地區AQI為對普通至敏感族群不健康，局部地區達到對所有族群不健康，東半部地區為普通等級，指標污染物為細懸浮微粒；24日中南部地區AQI為對敏感族群不健康，局部地區將達到對所有族群不健康，其他地區為良好至普通等級，指標污染物為細懸浮微粒。",中部,細懸浮微粒,150,2016-12-23,,,2016-12-22 10:30
"1.22日中南部地區AQI為對敏感族群不健康，局部地區達到對所有族群不健康，其他地區為良好至普通等級，指標污染物為細懸浮微粒。\r2.23日西半部地區AQI為對普通至敏感族群不健康，局部地區達到對所有族群不健康，東半部地區為普通等級，指標污染物為細懸浮微粒；24日中南部地區AQI為對敏感族群不健康，局部地區將達到對所有族群不健康，其他地區為良好至普通等級，指標污染物為細懸浮微粒。",中部,細懸浮微粒,125,2016-12-22,,,2016-12-22 10:30
"1.22日中南部地區AQI為對敏感族群不健康，局部地區達到對所有族群不健康，其他地區為良好至普通等級，指標污染物為細懸浮微粒。\r2.23日西半部地區AQI為對普通至敏感族群不健康，局部地區達到對所有族群不健康，東半部地區為普通等級，指標污染物為細懸浮微粒；24日中南部地區AQI為對敏感族群不健康，局部地區將達到對所有族群不健康，其他地區為良好至普通等級，指標污染物為細懸浮微粒。",竹苗,細懸浮微粒,100,2016-12-24,,,2016-12-22 10:30
"1.22日中南部地區AQI為對敏感族群不健康，局部地區達到對所有族群不健康，其他地區為良好至普通等級，指標污染物為細懸浮微粒。\r2.23日西半部地區AQI為對普通至敏感族群不健康，局部地區達到對所有族群不健康，東半部地區為普通等級，指標污染物為細懸浮微粒；24日中南部地區AQI為對敏感族群不健康，局部地區將達到對所有族群不健康，其他地區為良好至普通等級，指標污染物為細懸浮微粒。",竹苗,細懸浮微粒,95,2016-12-23,,,2016-12-22 10:30
"1.22日中南部地區AQI為對敏感族群不健康，局部地區達到對所有族群不健康，其他地區為良好至普通等級，指標污染物為細懸浮微粒。\r2.23日西半部地區AQI為對普通至敏感族群不健康，局部地區達到對所有族群不健康，東半部地區為普通等級，指標污染物為細懸浮微粒；24日中南部地區AQI為對敏感族群不健康，局部地區將達到對所有族群不健康，其他地區為良好至普通等級，指標污染物為細懸浮微粒。",竹苗,細懸浮微粒,65,2016-12-22,,,2016-12-22 10:30
"1.22日中南部地區AQI為對敏感族群不健康，局部地區達到對所有族群不健康，其他地區為良好至普通等級，指標污染物為細懸浮微粒。\r2.23日西半部地區AQI為對普通至敏感族群不健康，局部地區達到對所有族群不健康，東半部地區為普通等級，指標污染物為細懸浮微粒；24日中南部地區AQI為對敏感族群不健康，局部地區將達到對所有族群不健康，其他地區為良好至普通等級，指標污染物為細懸浮微粒。",北部,細懸浮微粒,115,2016-12-24,,,2016-12-22 10:30
"1.22日中南部地區AQI為對敏感族群不健康，局部地區達到對所有族群不健康，其他地區為良好至普通等級，指標污染物為細懸浮微粒。\r2.23日西半部地區AQI為對普通至敏感族群不健康，局部地區達到對所有族群不健康，東半部地區為普通等級，指標污染物為細懸浮微粒；24日中南部地區AQI為對敏感族群不健康，局部地區將達到對所有族群不健康，其他地區為良好至普通等級，指標污染物為細懸浮微粒。",北部,細懸浮微粒,100,2016-12-23,,,2016-12-22 10:30
"1.22日中南部地區AQI為對敏感族群不健康，局部地區達到對所有族群不健康，其他地區為良好至普通等級，指標污染物為細懸浮微粒。\r2.23日西半部地區AQI為對普通至敏感族群不健康，局部地區達到對所有族群不健康，東半部地區為普通等級，指標污染物為細懸浮微粒；24日中南部地區AQI為對敏感族群不健康，局部地區將達到對所有族群不健康，其他地區為良好至普通等級，指標污染物為細懸浮微粒。",北部,細懸浮微粒,75,2016-12-22,,,2016-12-22 10:30
